"accession","gene_symbol"
"AAD27776.1","60S ribosomal protein L36 [Homo sapiens]"
"NP_006326.1","TIMM17A"""
"AAO59167.1","SMARCB1"""
"NP_115879.2","GON7"""
"NP_001658.2","ARL2"""
"Q53H96.3","PYCR3"""
"NP_001257636.1","NRM"""
"Q9Y3T9.4","NOC2L"""
"NP_115834.1","PHF6"""
"BAA91102.1","unnamed protein product [Homo sapiens]"
"XP_016865309.1","UBE2D2"""
"CAG33215.1","PDCD5"""
"BAG63579.1","unnamed protein product [Homo sapiens]"
"BAG35406.1","unnamed protein product [Homo sapiens]"
"EAW48180.1","C6orf170"""
"Q99797.2","MIPEP"""
"P36268.3","GGT2P"""
"NP_001002032.1","JPT1"""
"EAW96364.1","MGST1"""
"AAB24226.1","glutaryl-CoA dehydrogenase, GCDH [human, liver, Peptide, 438 aa]"
"NP_004598.1","TBCA"""
"XP_011526907.1","LSM14B"""
"CAH56166.1","DKFZp686M21196"""
"BAG37923.1","unnamed protein product [Homo sapiens]"
"XP_011544063.1","NSMCE1"""
"XP_005262891.1","FAT1"""
"BAA11432.1","MEST"""
"NP_001003701.1","ATP5PF"""
"O00422.1","SAP18"""
"P42694.2","HELZ"""
"AAQ88973.1","TUFT1 [Homo sapiens]"
"NP_057251.2","NOL7"""
"EAW91673.1","TMEM55A"""
"EAW80315.1","SNCG"""
"EAW69507.1","NDUFS7"""
"O60427.3","FADS1"""
"CAB70824.1","DKFZp434E0610"""
"P17301.1","ITGA2"""
"CAB66595.1","DKFZp564J1864"""
"NP_055814.1","RAB21"""
"AAH22474.1","PPP2R5A"""
"EAW54050.1","CDK5"""
"NP_001768.1","CD47"""
"NP_000091.1","CSTB"""
"AAH13311.1","MRPL38"""
"AAH34360.1","CLYBL"""
"CAG38724.1","DNAJB1"""
"NP_001222.3","CASQ1"""
"NP_001018114.1","FAHD1"""
"BAG64846.1","unnamed protein product [Homo sapiens]"
"NP_078959.3","TEFM"""
"AFQ06808.1","ND4"""
"AAH94846.1","RAB13"""
"AAH11656.1","CDC27"""
"BAB21795.2","KIAA1704"""
"AAH05835.1","ECE2"""
"ADP22517.1","ND1"""
"EAW48042.1","ENPP1"""
"XP_006722634.1","PIAS2"""
"BAB13967.1","unnamed protein product [Homo sapiens]"
"NP_620061.2","PGK2"""
"AAM46068.1","NUDT10 [Homo sapiens]"
"NP_001128647.1","NEDD1"""
"XP_016861716.1","RABL3"""
"AAI05129.1","TTC19"""
"AAH04289.1","RBM19"""
"NP_078924.1","OGFOD3"""
"Q9H330.2","TMEM245"""
"XP_005246910.1","SCRN3"""
"Q8IWJ2.4","GCC2"""
"NP_038461.2","TNPO2"""
"DAA05331.1","NIPBL"""
"NP_001188408.1","CORO7-PAM16"""
"BAF83702.1","unnamed protein product [Homo sapiens]"
"AGL61414.1","RAB4A"""
"AAV38461.1","mitogen-activated protein kinase kinase kinase 7 [Homo sapiens]"
"BAG36850.1","unnamed protein product [Homo sapiens]"
"NP_004274.1","RAB3D"""
"EAX04694.1","WWC2"""
"BAA91610.1","unnamed protein product [Homo sapiens]"
"CAA68871.1","gpi8"""
"NP_001268652.1","BTD"""
"EAL23814.1","LOC402682"""
"NP_550433.1","UNG"""
"XP_016869243.1","SPAG1"""
"XP_011517228.1","WNK2"""
"EAW87356.1","hCG29188 [Homo sapiens]"
"AAA61156.1","TGM1"""
"BAH09092.1","HLA-A"""
"XP_011542608.1","CDC42BPA"""
"AAA61949.1","PCOLCE"""
"XP_011537045.1","VPS37B"""
"XP_011514682.1","PPP1R9A"""
"XP_005271923.1","CHD1"""
"AAG09692.1","reticulocabin precursor [Homo sapiens]"
"BAG36670.1","unnamed protein product [Homo sapiens]"
"Q96CV9.2","OPTN"""
"BAC03629.1","unnamed protein product [Homo sapiens]"
"NP_001273685.1","ANAPC4"""
"A8MWD9.2","SNRPGP15"""
"NP_036569.1","SNAPIN"""
"Q9NX05.3","FAM120C"""
"AAF15101.1","TIMM13a [Homo sapiens]"
"AAD30856.1","DRIP80"""
"XP_005265978.1","RPL26L1"""
"XP_005254037.1","ANKRD13A"""
"AAH07065.1","GSTT1"""
"NP_055534.1","TCAF1"""
"NP_003061.3","SMARCA2"""
"NP_001243764.1","QTRT2"""
"Q9Y6A9.4","SPCS1"""
"XP_016885226.1","UPF3B"""
"NP_006349.1","SLC25A17"""
"CAB45870.1","HHari"""
"NP_060590.1","ARMC1"""
"XP_005248862.1","AGPAT1"""
"XP_005256040.1","PHKB"""
"BAA34785.1","RALDH2"""
"NP_062556.2","RBMXL1"""
"NP_001140177.1","KDM5D"""
"AAF17203.1","SKD1 protein [Homo sapiens]"
"EAW50294.1","hCG38020, isoform CRA_b [Homo sapiens]"
"AAA96151.1","deoxyhypusine synthase [Homo sapiens]"
"BAA78691.1","helicase-MOI [Homo sapiens]"
"AAG14348.1","HVLP"""
"NP_001292486.1","TXNL4A"""
"NP_004538.2","NDUFB4"""
"CAD62614.1","unnamed protein product, partial [Homo sapiens]"
"EAW84356.1","STX10"""
"AAC17932.1","F17127_1 [Homo sapiens]"
"P15289.3","ARSA"""
"EAX04020.1","NFYA"""
"O60524.4","NEMF"""
"AAC80011.1","timeless homolog [Homo sapiens]"
"AAA58624.1","G-y-alpha"""
"XP_005256178.1","TERF2"""
"XP_016870597.1","VAV2"""
"XP_005253650.1","CLIP1"""
"XP_011537421.1","MICU1"""
"XP_016876217.1","ZMYM2"""
"AAQ13708.1","MST161"""
"NP_001273743.1","TNFAIP8"""
"BAD96843.1","DNA replication complex GINS protein PSF2 variant, partial [Homo sapiens]"
"NP_001316422.1","EMC2"""
"BAG50990.1","unnamed protein product [Homo sapiens]"
"XP_011519052.1","INTS13"""
"P42263.2","GRIA3"""
"NP_653164.2","RPIA"""
"AAA53375.1","ECK"""
"BAG63854.1","unnamed protein product [Homo sapiens]"
"AAH20914.1","TMEM223"""
"NP_003762.1","KRT36"""
"XP_011521726.1","NOL3"""
"DAA01138.1","ARHB"""
"XP_011533354.1","GTF2F2"""
"BAG59448.1","unnamed protein product [Homo sapiens]"
"ABC40670.1","rcTPI1, partial [Homo sapiens]"
"XP_005268081.1","SRP54"""
"CAD97776.1","DKFZp313G216"""
"NP_001604.1","ACTA2"""
"EAW49488.1","NHLRC2"""
"AAG39077.1","GTF2E2"""
"AAF76328.2","RC1"""
"NP_078940.2","PPCS"""
"BAB71348.1","unnamed protein product [Homo sapiens]"
"BAD92397.1","mitochondrial ribosomal protein L49 variant, partial [Homo sapiens]"
"BAD97241.1","thiosulfate sulfurtransferase variant, partial [Homo sapiens]"
"NP_001317652.1","SNX27"""
"AAA85097.1","DR-nm23"""
"NP_001274679.1","FDFT1"""
"P42858.2","HTT"""
"AAA52344.1","EEF1A"""
"CAA12176.1","glucosyltransferase, partial [Homo sapiens]"
"NP_005645.1","NR2F1"""
"NP_000453.2","UBE3A"""
"AAQ92978.1","SETDB1-associated protein [Homo sapiens]"
"EAW88341.1","UAP1L1"""
"EAW96959.1","hCG2016482, isoform CRA_a [Homo sapiens]"
"AAA35981.1","HHR6A (Human homologue of yeast RAD 6); putative [Homo sapiens]"
"NP_055956.1","GPD1L"""
"AAI46839.1","MRC1L1"""
"AAC41939.1","CAP2"""
"AAC16018.1","SDP3 [Homo sapiens]"
"BAG35886.1","unnamed protein product [Homo sapiens]"
"BAG63716.1","unnamed protein product [Homo sapiens]"
"XP_005260061.1","WIZ"""
"AAL76934.1","nicotinamide mononucleotide adenylyl transferase [Homo sapiens]"
"XP_016874792.1","LRP1"""
"AAH50059.1","ARHGAP5"""
"AAQ88653.1","RQTI221 [Homo sapiens]"
"BAB85080.1","unnamed protein product [Homo sapiens]"
"XP_005260755.1","ABHD12"""
"BAF83748.1","unnamed protein product [Homo sapiens]"
"BAD96607.1","PET112-like variant, partial [Homo sapiens]"
"NP_689449.1","CDC42EP1"""
"NP_001306935.1","RACGAP1"""
"EAX00199.1","LOC129285"""
"NP_001313309.1","HEBP2"""
"AAK61861.1","CHAC"""
"NP_776155.1","FUNDC1"""
"NP_542193.3","BRI3BP"""
"Q13625.2","TP53BP2"""
"AAA75390.1","NADH-ubiquinone reductase [Homo sapiens]"
"NP_777360.1","PSMD12"""
"CAB93144.1","WDR4"""
"BAG36767.1","unnamed protein product [Homo sapiens]"
"NP_065947.1","OSBPL5"""
